A3,A5,A6,A8,A23,A24,A26,A32,A33,A36,A37,A38,A39,A40,A41,A46,A47,A48,A54,A63,A64,A65,A72,A73,A74,A82,A84,A88,A95,A122,A126,A132,A143,A144,Aroma,Flavor,Aftertaste,Acidity,Body,Balance
0.115,0.1,0.275,0.14,0.225,0.42,0.435,0.29,6.115,0.14,1.31,3.545,3.26,1.21,0.695,1.81,1.525,2.31,0.525,0.625,0.615,3.495,6.805,1.585,9.915,0.5,12.57,1.435,0.515,2.2,2.12,0.905,0.215,1.425,8.5,8.42,8.47,8.42,8.36,8.75
0.145,0.29,0.995,0.11,0.1,0.515,0.445,0.35,5.61,0.105,1.09,2.925,2.885,1.235,0.83,1.9,1.345,2.3,0.7,0.95,0.4,2.805,6.83,2.725,8.305,0.36,12.015,1.695,0.45,1.92,1.505,0.715,0.28,2.05,8.39,8.36,8.31,8.44,8.39,8.58
0.125,0.185,0.93,0.125,0.205,0.525,0.05,0.38,5.765,0.1,1.425,3.165,2.845,1.23,0.68,1.605,1.47,1.955,0.435,0.675,0.39,3.225,5.28,2.245,9.57,0.315,12.55,1.475,0.395,1.04,1.36,0.58,0.29,2.985,8.31,8.44,8.33,8.42,8.36,8.64
0.11,0.135,1.485,0.105,0.165,0.505,0.17,0.385,5.305,0.08,1.235,2.9,2.735,1.125,0.725,2.185,1.42,2.07,0.53,0.665,0.335,2.7,5.32,2.645,8.38,0.33,12.035,1.595,0.7,1.265,1.245,0.64,0.35,3.18,8.36,8.25,8.17,8.28,8.31,8.39
0.16,0.26,1.515,0.1,0.205,0.605,0.045,0.41,5.795,0.12,1.64,3.085,2.805,1.245,0.79,1.655,1.39,2.27,0.5,0.73,0.37,2.795,5.205,2.295,8.26,0.3,11.65,1.54,0.67,1.115,0.95,0.585,0.285,3.21,8.17,8.08,8.14,8.33,8.33,8.44
0.14,0.245,1.51,0.135,0.215,0.56,0.04,0.355,1.68,0.16,1.545,3.49,3.25,1.205,0.75,1.835,1.42,2.165,0.465,0.61,0.545,3.125,5.525,1.905,8.605,0.305,13.43,1.465,0.42,1.57,1.2,0.39,0.255,3.285,8.39,8.36,8.25,8.33,8.33,8.58
0.155,0.215,1.285,0.105,0.18,0.57,0.675,0.375,5.645,0.095,1.445,3.3,2.98,1.3,0.835,1.915,1.495,2.25,0.53,0.785,0.425,2.895,5.115,2.415,8.525,0.34,11.625,1.67,0.415,1.565,1.17,0.6,0.245,2.68,8.31,8.39,8.31,8.42,8.36,8.67
0.265,0.295,3.435,0.165,0.165,0.465,0.015,0.265,6.075,0.14,1.64,2.98,3.045,1.11,0.95,1.795,1.205,2.37,0.18,0.6,0.365,2.27,5.365,1.735,7.635,0.24,13.215,0.23,0.62,1.665,0.905,0.605,0.17,2.68,8.5,8.44,8.33,8.61,8.56,8.58
0.15,0.26,1.215,0.15,0.195,0.675,0.025,0.465,5.66,0.105,1.68,3.3,3.1,1.29,0.765,1.725,1.47,2.18,0.225,0.715,0.32,2.43,4.355,2.575,7.33,0.245,12.3,1.705,0.725,1.02,0.69,0.485,0.31,3.19,8.44,8.39,8.31,8.47,8.39,8.67
0.11,0.185,0.935,0.11,0.14,0.66,0.035,0.475,4.675,0.075,1.42,3.115,2.595,1.125,0.655,1.635,1.555,2.155,0.44,0.8,0.275,2.47,3.715,2.9,7.45,0.28,11.955,1.56,0.76,0.96,0.815,0.48,0.325,3.68,8.42,8.39,8.28,8.33,8.47,8.5
0.185,0.32,1.65,0.13,0.2,0.575,0.03,0.4,5.295,0.07,1.275,3.23,2.785,1.27,0.67,2.005,1.74,2.445,0.575,0.97,0.27,2.905,4.99,2.69,8.35,0.34,11.505,1.675,0.44,0.88,1.175,0.5,0.285,2.455,8.47,8.14,8.31,8.42,8.19,8.5
0.205,0.155,1.04,0.135,0.195,0.55,0.035,0.335,1.535,0.09,0.815,2.68,2.57,1.165,0.62,1.75,1.38,2.17,0.75,0.69,0.31,2.885,6.915,2.67,9.025,0.38,11.45,0.955,0.34,1.015,1.375,0.66,0.26,1.425,8.53,8.31,8.25,8.47,8.28,8.61
0.19,0.235,1.12,0.14,0.2,0.52,0.465,0.32,5.185,0.06,1.095,2.935,2.7,1.18,0.785,1.66,1.375,2.205,0.63,0.625,0.345,2.78,5.855,2.465,8.8,0.315,11.755,1.335,0.65,1.235,1.21,0.6,0.22,1.915,8.42,8.47,8.39,8.53,8.42,8.64
0.315,0.315,0.975,0.135,0.23,0.525,0.04,0.365,4.98,0.085,1.13,2.415,2.285,1.215,0.685,1.46,1.29,2.03,0.49,0.685,0.25,2.905,6.695,2.64,9.065,0.335,10.575,1.325,0.335,1.16,1.14,0.665,0.265,1.545,8.56,8.47,8.42,8.53,8.33,8.64
0.17,0.16,1.175,0.1,0.18,0.45,0.045,0.34,1.97,0.075,1.16,3.855,3.44,1.64,0.855,2.45,2.22,3.48,0.97,1.395,0.305,2.255,5.73,1.915,7.96,0.365,11.195,2.32,0.37,1.33,1.15,0.71,0.375,1.965,8.16,8.13,8.03,8.16,8.22,8.22
0.175,0.155,1.015,0.095,0.18,0.465,0.045,0.35,5.885,0.085,1.305,4.055,3.57,1.665,0.815,2.67,2.345,3.295,1.005,1.37,0.28,2.23,5.76,2.145,7.995,0.41,11.855,2.24,0.345,0.96,1.16,0.68,0.37,1.71,8.07,7.89,7.89,8.11,8,8.25
